Edition,Reviews,Ratings,Edition_Year,Price
Мягкий,4.6,3,2018,1179.99
Твердый,3.7,4,2016,774.0
Мягкий,5.0,6,2016,3859.0
Твердый,5.0,8,2019,209.0
Твердый,4.8,10,2012,1600.0
Твердый,4.5,2,2018,372.0
Твердый,5.0,1,2009,2964.0
Твердый,3.9,9,2016,325.0
Мягкий,5.0,6,2006,449.0
Мягкий,4.6,54,2018,330.0
Твердый,5.0,1,2019,450.0
Мягкий,5.0,2,2011,1029.0
Твердый,3.7,6,2010,375.0
Твердый,4.0,1,2003,720.0
Твердый,4.3,35,2003,395.0
Твердый,4.9,13,2017,184.0
Твердый,3.8,13,1992,283.0
Мягкий,3.0,1,2018,449.0
Твердый,4.3,28,2017,299.0
Твердый,3.7,7,2017,299.0
Твердый,4.5,2,1996,270.0
Мягкий,4.5,2,2009,61.0
Твердый,3.7,23,2018,184.0
Твердый,4.2,50,2018,70.0
Твердый,5.0,2,0,418.0
Твердый,4.7,4,2018,395.0
Твердый,4.0,197,2011,179.0
Твердый,5.0,2,2009,782.0
Твердый,3.5,4,2000,475.44
Твердый,4.0,30,2012,403.0
Твердый,5.0,1,2012,359.0
Другой,3.9,26,1982,114.0
Твердый,4.7,5,2014,639.0
Твердый,4.4,3,2019,247.0
Твердый,4.2,114,2017,210.0
Твердый,3.7,32,2019,117.0
Твердый,3.8,12,2018,1679.0
Мягкий,5.0,1,2009,73.0
Твердый,4.2,46,2013,2905.0
Твердый,4.7,15,2014,344.0
Твердый,5.0,1,2015,1499.0
Мягкий,3.0,1,2018,309.0
Твердый,4.5,72,1997,250.0
Твердый,4.8,51,2011,259.0
Твердый,5.0,1,2015,1074.0
Мягкий,4.3,161,2016,322.0
Твердый,5.0,3,2015,768.0
Твердый,4.6,135,2010,120.0
Твердый,4.3,26,2008,205.0
Твердый,4.6,41,2016,338.0
Твердый,5.0,1,1989,723.0
Твердый,3.0,1,2014,1499.0
Твердый,4.5,156,2015,171.0
Мягкий,4.3,15,2019,372.0
Твердый,4.7,77,2015,369.0
Твердый,4.6,1416,2017,73.0
Твердый,4.5,4,2015,783.0
Другой,5.0,1,2018,259.0
Твердый,4.2,3,2017,1268.0
Твердый,4.7,49,2015,187.0
Твердый,4.6,3,2015,677.0
Твердый,4.5,4,2017,266.0
Твердый,4.5,2,2018,344.0
Твердый,4.1,93,2018,304.0
Твердый,3.3,7,2010,82.0
Твердый,5.0,3,2018,434.0
Твердый,3.5,27,2016,248.0
Твердый,3.0,1,2018,153.0
Твердый,3.8,23,2011,203.0
Мягкий,4.5,221,2017,335.0
Другой,4.8,5,1982,455.0
Твердый,5.0,2,2010,702.0
Твердый,3.3,36,2011,69.0
Твердый,4.6,3,1995,296.0
Твердый,4.8,6,2018,334.0
Твердый,3.9,154,2007,399.0
Твердый,4.0,3,2004,135.0
Твердый,3.4,8,2013,428.0
Твердый,4.4,74,2014,659.0
Твердый,4.6,20,2011,678.0
Твердый,3.3,10,2011,320.0
Твердый,4.2,49,2012,363.0
Твердый,4.2,14,2017,319.0
Твердый,4.1,2,2009,793.0
Твердый,4.4,24,2017,228.0
Мягкий,5.0,2,2014,1196.0
Твердый,5.0,7,2019,258.0
Твердый,4.1,35,2016,319.0
Твердый,5.0,1,2016,734.0
Твердый,4.6,45,2017,395.0
Другой,3.9,6,0,1453.0
Твердый,4.4,3,2012,97.0
Твердый,4.6,11,2007,378.91
Твердый,4.4,7,2015,259.0
Твердый,4.3,13,2013,299.0
Твердый,4.5,5,1987,88.0
Твердый,5.0,1,1999,375.0
Твердый,4.6,41,2013,304.0
Мягкий,5.0,2,2018,541.0
Твердый,3.9,20,2011,380.0
Твердый,4.7,8,2003,489.0
Твердый,4.5,2,2017,354.0
Твердый,5.0,10,2017,205.0
Мягкий,4.2,4,2013,449.0
Твердый,4.4,39,2017,415.0
Твердый,5.0,1,2016,497.0
Твердый,4.0,27,2015,2742.0
Твердый,3.0,1,2015,467.0
Мягкий,2.9,11,2018,373.0
Твердый,3.0,3,2003,706.0
Твердый,4.6,3,2014,233.22
Твердый,5.0,1,2017,1009.0
Твердый,4.1,240,2001,159.0
Твердый,4.4,50,2013,773.0
Твердый,3.7,62,2011,139.0
Твердый,5.0,1,2016,1203.0
Твердый,4.1,55,2011,259.0
Твердый,3.4,4,2003,228.0
Твердый,3.5,9,2012,375.0
Твердый,2.0,2,2018,113.0
Твердый,4.5,55,2017,480.0
Твердый,4.0,1,2017,1038.0
Твердый,4.5,19,2002,690.0
Твердый,3.3,3,2002,299.0
Твердый,4.6,5,2016,245.0
Мягкий,4.5,2,2012,425.0
Твердый,5.0,2,2002,324.0
Твердый,4.0,4,2003,239.0
Твердый,4.7,17,2019,242.0
Твердый,4.6,7,2018,580.0
Твердый,4.3,26,2007,420.44
Твердый,4.3,4,2014,469.0
Твердый,4.7,7,2010,359.0
Твердый,4.3,37,2017,225.0
Твердый,4.3,48,2018,407.5
Твердый,3.9,15,2019,125.0
Твердый,4.1,404,2014,79.0
Другой,5.0,2,2010,319.0
Твердый,5.0,1,2017,798.44
Твердый,3.7,8,2019,178.0
Твердый,4.4,8,2018,443.0
Твердый,5.0,1,2014,1416.0
Твердый,2.5,3,2010,399.14
Твердый,3.8,3,1986,310.0
Другой,4.0,1,2016,161.0
Твердый,4.8,7,2013,399.0
Твердый,4.2,29,2003,240.93
Твердый,4.2,245,2012,155.0
Твердый,4.2,11,2017,599.0
Твердый,4.1,35,2014,375.0
Твердый,4.5,8,2014,450.0
Твердый,4.1,37,2012,309.0
Твердый,4.0,5,1990,140.0
Твердый,4.4,5,2016,1280.0
Твердый,1.0,1,1991,3951.07
Твердый,4.5,45,2009,158.0
Другой,4.5,5,2013,399.0
Твердый,3.5,14,2016,220.0
Мягкий,4.2,6,2018,366.0
Твердый,4.5,62,2016,319.0
Твердый,4.0,35,2018,408.0
Твердый,5.0,2,2019,449.0
Мягкий,3.9,9,2014,2275.0
Твердый,5.0,3,2016,808.0
Мягкий,4.6,10,2018,350.0
Мягкий,5.0,1,2017,1499.0
Твердый,3.0,22,2010,270.0
Твердый,3.0,2,2017,311.0
Твердый,3.7,26,2017,295.0
Твердый,5.0,1,2012,2655.21
Мягкий,4.4,3,2015,779.0
Твердый,4.0,11,2013,497.0
Твердый,4.4,26,2016,207.0
Мягкий,3.7,18,2012,212.0
Мягкий,4.7,36,2018,508.0
Твердый,3.5,5,2007,858.0
Мягкий,3.8,62,2012,1300.0
Твердый,4.6,7,2014,449.0
Твердый,4.0,2,2016,130.0
Твердый,5.0,3,2018,493.0
Твердый,4.1,10,2010,399.0
Твердый,4.4,292,2016,179.0
Твердый,3.6,5,2014,336.0
Твердый,4.1,14,2018,125.0
Мягкий,5.0,1,2015,130.0
Твердый,4.1,25,2008,374.0
Твердый,3.4,7,2009,247.0
Твердый,5.0,1,2017,206.5
Другой,3.0,1,2016,274.0
Твердый,5.0,1,2011,1320.0
Твердый,4.8,6,2017,925.0
Мягкий,3.6,9,2017,999.0
Твердый,4.1,75,2015,153.0
Твердый,5.0,12,2013,403.9
Мягкий,3.6,381,2018,479.0
Другой,4.0,10,2006,319.0
Твердый,5.0,1,2019,599.0
Твердый,4.4,18,2017,295.0
Твердый,5.0,1,2015,342.0
Твердый,4.0,2,1988,130.0
Твердый,4.0,44,2003,552.21
Твердый,3.9,32,2016,559.0
Твердый,2.9,3,2017,332.0
Твердый,4.0,1,2007,1770.45
Твердый,3.6,17,2017,336.0
Твердый,5.0,3,2018,1137.0
Твердый,3.1,8,2004,440.0
Твердый,4.1,11,2017,1025.0
Твердый,5.0,1,2006,413.0
Твердый,3.6,27,2003,141.0
Мягкий,5.0,3,2016,1791.41
Твердый,4.7,5,2012,1730.0
Твердый,4.6,443,2017,120.0
Твердый,4.2,425,2017,270.0
Твердый,4.2,16,2011,123.0
Твердый,4.3,10,2016,228.0
Другой,3.7,8,1991,295.0
Другой,5.0,1,2013,556.0
Мягкий,5.0,3,2013,958.0
Твердый,5.0,2,2017,450.0
Твердый,4.2,21,2016,175.0
Твердый,4.6,238,2017,352.0
Твердый,4.0,165,2019,98.0
Твердый,4.6,15,2010,182.0
Мягкий,5.0,8,2014,461.23
Твердый,4.7,84,2018,153.0
Твердый,4.4,68,2015,1825.0
Твердый,5.0,1,2017,1939.0
Другой,4.3,6,1991,549.0
Другой,4.5,2,1993,382.0
Другой,4.1,4,1981,369.0
Твердый,2.7,3,2019,184.0
Мягкий,4.3,20,2015,2216.63
Твердый,3.0,1,2018,250.0
Твердый,4.2,9,2009,538.26
Твердый,3.9,2,2012,439.0
Твердый,5.0,4,2000,280.0
Твердый,5.0,3,1988,295.0
Твердый,4.5,9,1989,379.0
Твердый,4.4,33,2018,273.0
Твердый,5.0,2,1976,2350.0
Твердый,4.6,9,2005,342.0
Мягкий,4.6,11,2008,573.0
Твердый,2.0,1,2008,308.0
Мягкий,4.3,108,2019,621.0
Твердый,4.1,7,2014,329.0
Твердый,3.8,25,2013,409.0
Твердый,4.0,1,1994,690.0
Твердый,4.8,5,2017,517.0
Твердый,4.1,16,2017,261.0
Мягкий,3.9,17,2016,450.0
Твердый,4.4,8,2012,496.0
Твердый,4.1,23,2007,850.0
Твердый,3.9,2,2016,189.0
Твердый,5.0,1,2014,1349.0
Твердый,4.8,7,2016,82.0
Мягкий,4.4,10,2016,879.0
Твердый,5.0,1,2004,899.0
Твердый,4.6,74,2015,401.0
Твердый,4.7,7,2017,184.0
Твердый,4.4,12,2009,466.68
Мягкий,4.0,1,2010,2590.0
Твердый,4.6,5,2011,205.0
Мягкий,5.0,4,2015,799.0
Твердый,5.0,1,2014,499.0
Твердый,4.8,7,2011,294.0
Твердый,4.2,5,2010,85.0
Твердый,3.6,4,2016,334.0
Твердый,3.8,32,2019,125.0
Твердый,3.6,52,2012,200.0
Твердый,4.5,28,2009,559.0
Твердый,4.8,15,2017,154.0
Твердый,4.3,57,2017,309.0
Твердый,2.0,1,2014,25.0
Твердый,4.2,3,1999,760.0
Твердый,4.3,109,2005,272.0
Твердый,4.0,1,2019,401.0
Твердый,5.0,2,2015,500.0
Твердый,3.7,6,1992,281.0
Твердый,4.8,9,1996,536.0
Твердый,4.5,17,2017,443.0
Твердый,4.9,12,2015,474.0
Твердый,4.0,22,2016,369.0
Твердый,4.7,32,2013,304.0
Твердый,5.0,2,2008,498.95
Твердый,4.0,1,2009,449.0
Твердый,5.0,7,2015,487.0
Твердый,2.0,1,2010,180.0
Мягкий,4.5,89,2018,559.0
Твердый,3.0,1,2017,113.0
Твердый,4.4,16,2018,149.0
Твердый,5.0,8,2016,562.93
Твердый,4.6,37,2018,340.0
Твердый,4.5,5,2016,823.0
Твердый,4.6,3,2017,386.0
Твердый,4.5,5,2000,299.0
Твердый,4.1,4,2014,138.0
Твердый,4.4,42,2012,316.0
Твердый,4.0,3,2018,195.0
Твердый,4.1,45,1998,225.0
Твердый,4.3,304,2013,110.0
Твердый,4.7,18,1992,369.0
Мягкий,4.8,19,2018,419.0
Другой,3.8,96,1982,243.0
Твердый,4.8,5,2019,270.0
Твердый,4.7,4,2014,4013.0
Твердый,4.3,22,1996,400.44
Твердый,4.5,419,2016,230.0
Мягкий,4.6,10,2018,350.0
Мягкий,5.0,1,2015,2820.0
Твердый,5.0,3,2017,624.0
Твердый,4.0,3,2018,450.0
Твердый,3.9,12,1996,243.0
Твердый,4.5,205,2009,182.0
Твердый,3.8,6,2005,355.0
Твердый,5.0,2,2016,1075.0
Твердый,4.0,10,2019,387.0
Твердый,5.0,1,2010,309.0
Мягкий,4.3,8,2018,147.0
Твердый,4.4,15,2009,302.0
Твердый,3.7,4,2018,2450.0
Твердый,4.2,4,2015,674.25
Твердый,1.0,1,2019,319.0
Твердый,5.0,3,2017,295.0
Твердый,5.0,1,2017,524.0
Твердый,4.1,85,2008,287.0
Твердый,4.4,6,2015,1197.0
Твердый,4.5,4,2012,318.0
Твердый,4.3,68,2018,231.0
Твердый,5.0,1,2016,749.0
Твердый,5.0,1,2018,310.0
Мягкий,4.9,10,2017,752.36
Твердый,4.0,1,2019,335.0
Твердый,4.3,7,2013,113.0
Твердый,3.9,9,2013,451.0
Твердый,4.4,960,2017,146.0
Твердый,4.3,6,2000,109.0
Твердый,4.1,71,2016,39.0
Твердый,4.8,5,2007,295.0
Твердый,4.1,37,2019,319.0
Твердый,4.7,167,2010,277.0
Твердый,4.5,14,2018,146.0
Мягкий,5.0,8,2014,514.4
Твердый,4.1,11,2015,378.0
Твердый,3.6,2,2010,214.0
Твердый,2.5,2,1998,639.0
Твердый,5.0,3,2008,279.0
Твердый,4.4,58,2016,245.0
Твердый,4.2,32,2014,289.0
Твердый,4.1,11,2011,413.0
Мягкий,3.5,9,2018,450.0
Твердый,4.7,27,2013,399.0
Твердый,4.3,5,2016,1098.0
Твердый,4.3,19,2011,354.0
Твердый,5.0,1,2015,414.0
Твердый,4.1,12,2015,1700.0
Мягкий,4.1,20,2018,473.0
Мягкий,4.7,50,2018,391.23
Твердый,5.0,1,2012,705.41
Другой,4.8,7,2004,425.0
Твердый,5.0,1,2013,664.0
Твердый,4.0,3,2018,224.25
Твердый,4.6,33,2009,311.0
Твердый,3.0,1,2019,177.0
Мягкий,3.8,37,2015,559.0
Твердый,4.6,33,2011,374.0
Твердый,4.3,40,2007,335.0
Твердый,4.3,15,1994,606.0
Твердый,4.5,4,2005,1133.0
Твердый,3.8,102,2019,57.0
Твердый,5.0,2,1992,478.79
Мягкий,3.9,9,2015,779.0
Мягкий,3.2,4,2003,407.0
Твердый,5.0,2,2019,295.0
Твердый,3.8,42,2015,155.0
Твердый,3.8,7,2011,799.0
Твердый,4.2,20,2008,372.0
Твердый,4.2,76,2013,131.0
Твердый,4.5,16,2003,385.0
Твердый,4.3,42,2012,113.0
Твердый,4.9,17,2015,185.0
Твердый,4.6,101,2018,98.0
Твердый,5.0,1,2019,299.0
Мягкий,4.7,20,2009,79.0
Твердый,4.7,27,2017,203.0
Твердый,4.0,48,2014,599.0
Мягкий,5.0,3,2016,1150.0
Твердый,4.4,8,2018,259.0
Твердый,4.7,4,2012,1493.0
Твердый,5.0,3,2011,474.0
Твердый,4.4,74,2014,284.0
Твердый,4.6,85,2003,516.68
Мягкий,4.3,65,2010,695.0
Твердый,4.2,23,2017,235.0
Твердый,5.0,1,1977,1499.0
Твердый,4.2,9,2017,339.0
Твердый,4.0,3,2015,146.0
Твердый,4.9,13,1988,1331.0
Твердый,4.6,6,2017,599.0
Твердый,4.2,4,2018,712.0
Твердый,5.0,1,2018,193.0
Твердый,4.2,70,2017,139.0
Мягкий,3.8,74,2019,401.0
Мягкий,3.9,7,2015,911.0
Твердый,5.0,2,2006,479.0
Мягкий,5.0,2,2017,449.0
Твердый,3.3,3,2016,219.0
Твердый,5.0,1,2014,498.9
Твердый,3.7,4,2013,359.0
Твердый,4.6,6,2004,517.0
Твердый,3.9,19,2015,395.0
Твердый,4.4,9,2018,309.91
Твердый,5.0,2,2015,330.0
Твердый,4.6,16,2016,1036.0
Твердый,4.5,2,2004,427.27
Твердый,4.1,13,2016,440.0
Твердый,4.3,6,2018,299.0
Твердый,5.0,8,2018,423.0
Твердый,4.4,12,1974,659.0
Твердый,3.5,106,2019,125.0
Твердый,4.8,6,2015,295.0
Твердый,5.0,1,2016,661.0
Твердый,3.2,74,2018,166.0
Твердый,5.0,1,2012,1607.0
Твердый,4.8,6,2007,88.0
Твердый,4.8,21,1997,481.61
Твердый,4.1,29,2017,295.0
Твердый,4.3,9,2017,358.0
Твердый,1.0,1,2015,189.0
Мягкий,4.3,11,1983,4854.39
Твердый,4.6,3,2016,334.0
Твердый,4.0,1,2008,225.0
Твердый,4.1,76,2009,228.0
Твердый,4.2,3,2017,370.66
Мягкий,4.8,28,2015,610.0
Твердый,2.8,2,2016,595.0
Твердый,4.4,146,2015,248.0
Твердый,4.0,7,0,415.0
Твердый,4.4,62,1988,328.0
Мягкий,4.0,1,2005,2339.0
Мягкий,5.0,3,2015,799.0
Твердый,4.0,5,2010,239.0
Мягкий,3.7,6,2018,449.0
Твердый,4.0,1,2007,1084.78
Твердый,4.3,922,2016,238.0
Твердый,4.1,31,2010,218.0
Другой,4.2,11,1996,221.0
Твердый,4.0,1,2010,410.0
Твердый,5.0,1,2015,538.0
Твердый,3.8,30,2010,273.0
Твердый,1.0,1,2013,348.0
Другой,4.7,4,2016,536.0
Твердый,5.0,3,2013,1033.0
Твердый,3.9,8,2015,398.9
Твердый,4.8,38,2014,179.0
Твердый,3.0,1,1976,1686.0
Твердый,4.9,13,2018,214.0
Твердый,4.2,4,2012,205.0
Твердый,4.1,5,2017,289.0
Другой,3.8,22,2016,359.0
Твердый,5.0,1,2013,183.0
Твердый,3.5,63,2015,239.0
Твердый,4.7,4,2008,1113.0
Мягкий,5.0,1,2018,538.26
Мягкий,4.0,23,2013,719.0
Твердый,3.3,12,2016,639.0
Твердый,3.1,2,1995,293.0
Твердый,4.6,49,2018,374.25
Твердый,4.0,9,2017,179.0
Твердый,5.0,1,2018,180.0
Твердый,5.0,1,1982,1321.0
Другой,3.9,30,2003,311.0
Твердый,4.5,11,1994,251.0
Твердый,4.6,3,2011,360.0
Твердый,3.8,6,2006,207.0
Твердый,4.4,8,2010,332.0
Твердый,5.0,1,2017,416.0
Твердый,4.4,42,2014,490.0
Другой,5.0,1,2018,299.0
Твердый,4.5,13,2000,457.0
Другой,3.8,6,2010,656.0
Твердый,4.1,19,2015,455.0
Твердый,5.0,4,2015,1059.0
Твердый,5.0,1,2006,598.88
Твердый,5.0,1,2014,142.0
Твердый,5.0,1,2018,1776.0
Твердый,5.0,2,2008,450.0
Твердый,4.7,8,2005,399.0
Твердый,5.0,2,2018,416.0
Твердый,2.8,4,2008,170.0
Твердый,4.6,75,2013,511.0
Твердый,4.0,1,2014,367.0
Мягкий,3.1,2,2011,128.0
Твердый,4.3,13,2013,160.0
Твердый,3.7,12,2016,248.0
Твердый,4.0,3,2017,134.0
Твердый,3.8,4,2016,650.0
Мягкий,5.0,1,2017,869.24
Твердый,4.6,177,2005,359.0
Твердый,4.5,32,2018,273.0
Твердый,3.0,1,2015,920.0
Твердый,3.5,4,2010,202.0
Мягкий,4.7,138,2016,340.0
Твердый,5.0,7,2016,319.0
Твердый,4.5,55,2016,712.0
Твердый,4.6,2,1995,194.0
Твердый,5.0,6,2014,451.0
Твердый,4.1,7,2014,280.0
Мягкий,5.0,5,2018,390.0
Твердый,3.9,2,2014,2774.0
Твердый,4.5,2,2017,120.0
Твердый,4.0,2,2015,749.16
Твердый,4.0,1,2013,448.0
Твердый,3.9,52,2015,369.0
Твердый,4.5,2,2014,169.0
Твердый,4.0,1,2017,295.0
Твердый,4.2,164,2019,98.0
Твердый,4.5,28,2015,221.0
Твердый,3.3,23,2018,311.0
Твердый,5.0,1,2002,399.0
Твердый,4.1,5,2008,339.0
Твердый,5.0,5,2016,478.1
Твердый,5.0,1,1998,295.0
Твердый,4.4,97,2016,427.0
Твердый,4.4,9,2017,400.44
Твердый,4.4,19,2015,474.0
Твердый,4.0,1,2016,638.0
Твердый,5.0,1,2017,750.0
Твердый,4.3,257,2014,224.0
Твердый,4.7,207,2016,336.0
Твердый,4.5,48,2010,368.0
Твердый,4.6,3,2019,559.0
Твердый,5.0,1,2018,753.0
Твердый,5.0,1,2016,374.07
Твердый,4.4,5,2003,324.0
Твердый,3.2,3,2016,674.0
Твердый,4.2,16,2016,352.36
Твердый,5.0,7,2019,256.0
Твердый,3.9,11,2018,340.0
Твердый,5.0,3,2011,1135.0
Твердый,5.0,2,2010,195.0
Твердый,3.8,16,2008,365.0
Твердый,4.6,74,2015,407.0
Мягкий,4.5,2,1997,995.0
Твердый,4.4,95,2018,127.0
Твердый,4.0,1,2019,224.0
Мягкий,1.5,55,2018,288.0
Твердый,4.1,11,2017,441.0
Твердый,5.0,17,2019,362.0
Твердый,4.2,64,2000,359.0
Твердый,3.0,1,2018,387.0
Твердый,4.7,4,2017,134.0
Твердый,4.9,13,1988,1331.0
Твердый,4.4,4,2008,239.0
Твердый,4.4,55,1982,405.0
Твердый,5.0,1,2016,269.0
Твердый,4.5,234,2015,280.0
Твердый,3.6,3,2017,355.0
Твердый,4.5,25,2018,319.0
Твердый,4.3,6,2016,275.0
Твердый,4.6,3,2010,1199.0
Твердый,5.0,1,1998,440.0
Твердый,4.7,7,2012,521.0
Мягкий,5.0,3,2008,3776.55
Твердый,4.2,28,2016,336.0
Твердый,3.9,27,2019,90.0
Твердый,4.2,17,2011,402.0
Твердый,5.0,1,2012,737.0
Твердый,4.3,13,2017,410.0
Твердый,3.6,4,2017,250.0
Твердый,4.3,9,2015,200.0
Твердый,3.2,7,2019,434.0
Твердый,5.0,1,2016,1049.0
Другой,5.0,5,2015,405.0
Твердый,3.8,3,2017,1600.0
Другой,4.1,9,2008,232.81
Твердый,4.0,8,2016,467.0
Твердый,3.7,14,2019,90.0
Твердый,5.0,3,2006,350.0
Твердый,3.9,10,2017,930.0
Твердый,4.7,56,2013,229.0
Твердый,4.1,196,2016,122.0
Твердый,4.4,6,2007,599.0
Твердый,4.5,2,2019,491.18
Твердый,4.4,82,2011,216.0
Твердый,4.2,19,1997,205.0
Твердый,5.0,8,2017,319.0
Мягкий,3.9,3,2016,610.0
Твердый,5.0,4,2015,335.0
Твердый,4.7,4,2016,253.69
Твердый,4.1,1558,2015,181.0
Твердый,4.5,2,1990,288.44
Твердый,4.5,4,2014,922.0
Твердый,4.4,8,1998,446.0
Твердый,5.0,1,2011,1828.0
Твердый,4.8,51,2011,263.0
Твердый,4.4,138,2016,348.0
Твердый,4.3,15,2015,482.0
Твердый,3.9,567,2013,106.0
Твердый,4.0,18,2016,367.0
Твердый,4.0,22,2018,435.0
Твердый,4.3,114,2019,299.0
Твердый,4.1,6,2017,449.35
Твердый,4.1,22,2015,449.0
Мягкий,4.9,19,2017,1548.0
Твердый,5.0,1,2019,339.0
Твердый,4.3,11,2017,185.0
Твердый,4.3,31,1971,112.0
Твердый,3.9,55,2017,145.0
Твердый,4.5,70,2018,187.5
Мягкий,4.8,31,2018,500.0
Твердый,4.5,8,2018,374.0
Твердый,4.7,10,2006,480.32
Твердый,4.4,60,2003,379.0
Другой,3.7,74,2006,347.0
Твердый,4.2,37,1992,314.0
Мягкий,1.0,1,2017,1227.0
Мягкий,4.1,16,2015,659.0
Твердый,4.5,2,2018,177.0
Мягкий,4.2,30,2008,671.0
Твердый,4.3,7,2013,338.45
